reviews,rating
"The person who took my order was not very friendly, I hadn't even finished ordering and told me...have a nice day...",3 stars
I love your coffee,5 stars
"I did not like the format of the store, the bathroom is kept closed.",3 stars
Rico and his hot and delicious muffin sausages as always the only thing they don't put napkins or ketchup or spicy sauce,5 stars
"Bad service and they always forget to put the complete order, there is always something missing even meat in the hamburger",1 star
"I bought two meals from them for my friends, and they gave me bread and cheese in exchange for meat. Hahahaha, and the account came out with 30 dollars. Damn the mother of fraud",1 star
"I ordered a fish burger and it only brings the bread, the fish and mayonnaise. I expected it to bring lettuce and tomato but no, I think it would be better with luchuga and tomato",2 stars
Everything is fine and the lady with brown eyes is very kind and pretty,5 stars
A lot of homeless come in to ask for money.,3 stars
I made pleasure i just passing by...and i am breakfast...I made hispanic ppl...attending me.,5 stars
It is a good restaurant and by downloading the restaurant application you get good space.,5 stars
Every time the things are more refrigerated and the coffee is made to your ** taste,1 star
I like it in El Salvador I could not go to the USA and not eat,5 stars
very fast service,5 stars
Very fast service friendly and fast staff,5 stars
Excellent service,5 stars
The toilets clogged the restaurant not top in cleanliness,3 stars
"Excellent service, tasty burgers and more, congratulations!",5 stars
It lacks a bit of speed when delivering the product,4 stars
Poor ,2 stars
"The drive through was very quick (the fastest I've experienced in many years - think NASCAR pitstop), the order was accurate, and the food was fresh & tasty.",5 stars
the heavy set woman with the short cut quick weave with glasses is very rude and miserable looking . i stood there waiting on the doordash order for 20 min and she didnt ask how could she help me she didn't say anything  she was skipping over the doordash order  and just let me stand there then when the order was done she threw the bag,2 stars
Good stuff.,5 stars
Good,4 stars
Good,5 stars
Good location,5 stars
Poor ,2 stars
Terrible,1 star
"Delivery- complete joke! Don't bother taking the time to order sauces for your Nuggets! I ordered 20 spicy,  40 reg, picked out at least 9 different dipping sauces as ""required "" not to mention Desired by my kiddos!! We did NOT get ONE sauce or even a ketchup!!! Just to make sure they were consistant with disregard, they didn't even give us straws either to go with our $3 mango smoothies...2 of them! So, 60 Nuggets-NO sauces  AT ALL!  Not the first time they have done us wrong on the Nuggets so buyer should be cautious!",2 stars
"f I could give it -5 I would. Ordered on their own mobile app so it seems like they chose not to read /deliver the order actually ordered. I collected , drove 10 + minutes towards home before the kid figured out that his order had every single add on we had requested not be added. I called and , zero apology,  was told to drive back to the drive thru and collect. OH-KAY. Lovely customer service already. I get there and the 'manager' asks me to return the wrong order, I handed it back (untouched) and he made  huge scene of firing it in the trash. emmmm, your mistake. No apology and ALL the attitude ? Never , ever again. Calling the franchise owner. I would hate this guy to represent my business . I felt so sorry for his team mates /peers who were embarrassed by him.",1 star
"The interior was something I'd never seen before. There were planted boards you could use to place your order before reaching the counter, but the line was short so it wasn't needed. The place was clean and all the orders were right. It was a nice stop for a sit-down quick lunch like how fast food should be.",5 stars
"The person who takes your order always seems to be mad, the cashier is never polite and orders are almost always wrong. Good thing other better places to eat are around here.",1 star
"This location has a fun indoor playroom area. The play equipment always seems to be clean and well-maintained. I take my two-year-old granddaughter there occasionally, and she always has fun. The only reason for the four out of five stars is because their projection screen/interactive play mat has not worked properly since we have been visiting there over the last year. It has partially worked on a couple of occasions and my granddaughter remembers that she enjoyed it. Every time weï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½re there she stomps on it to try to make it work. She will grab my hand and pull me over to the mat and try and get me to make it work. I",4 stars
Good quick service! But the lady that works at night front counter is very rude. It's a way to say something. People are spending their money.,1 star
"When the order is correct, the quality is fine. But I never get an order completely correct, especially if it's a McCafe drink. I would let it go, everyone makes mistakes, but it's constant and employees as a manager have had a terrible attitude about fixing it. If there were another one to go to instead, I would.",3 stars
"Went through the drive thru in a hurry to get my daughter to school, we found a hair in our food and was given the wrong drink. The manager on duty was very apologetic and gave me a refund. Even though I was disappointed with the hair in the food, we were treated very kindly and had no problem getting our money back",2 stars
"I'll always come back here. The food's always right and the store and bathroom is always clean. Nobody bothers you. I even ate pizza here and the management didn't seem to care and it's a good place to eat and work. There aren't too many good McDonald's you can find a good plug in for your laptop but this one is awesome.

The staff is good and very helpful every time I go there. One day I was low on money but really had to eat. One of the guys who worked there gave me a break and upsized my drink as a courtesy. It was hot as $h&t outside and I had a longer lasting drink to curve the heat.",5 stars
"Actually an especially above average location.  Service and food are what should be expected.  Clean.  Restroom has hands free door opener.  Kids Play Place is especially nice.  Has modern play equipment, toddler area and interactive life size video game station.",5 stars
"So I gave this a 3, mainly because they always get my order right. The customer service is not always there. Its hit or miss. Please Beware! The drive-thru has a narrow turn, I've seen too many cars scrape up the side hitting the barrier at the first window. It doesn't look like you're that close, but I promise, just take a wide turn in the drive-thru",3 stars
I can only speak to their breakfast as it's the only thing I've purchased there. Service is fast and the food is great.,5 stars
"Best McDonald's around!
The people who work there are always super nice, the service is very good compared to other McDonald's in this area. And there are NOT any of those horrible self serve kiosks! Oh how I hate those things!!!
The restaurant is clean and we'll maintained.
This is my favorite!",5 stars
We love coming here. Tried the Shamrock Mcflurry and it was delicious!,4 stars
Their employees needs to learn customer service.,4 stars
They made a mistake on my order but I hadn't left the parking lot yet. I called them and told them and they gave me the correct sandwich right away. Great service!,5 stars
"What makes this place 5 star to me is the Manager.......Nikko!

Nikko is super friendly, genuinely caring about HONEST customers and makes you wanna come back for some of his cheer.
Service is great here with seldom a mistake in the mornings when I come in.
Th",5 stars
Who doesn't love McDonalds fries... quick service it always fast not really a long wait... Mmmmmm fries.....,5 stars
"Love this spot. Convenient location right off of major highways, food is prepared properly, drive-thru turns over quickly, coffee is delicious. No complaints. This is what every McDonald's should be like.",5 stars
"Fast service, hot fries fresh burgers. It's McD's. Somehow the food is fresher in our drive thru only world...

People at this one always are nice considering they need to deal with peeps like me that never know what they want. It's been the same basic menu for decades. LOL",5 stars
"If I could give them no stars I would.. they have been messing up my order for year's. Remodel didn't help nothing,  still sucks. I've complained to a district manager,  don't help. I've had 1 nice manager,  but she still got my order wrong... I swear at one point I thought I was on boiling point, or there was a hidden camera. Cuz they got my order wrong 3x's in s row... this place is A JOKE....",1 star
It's a pretty nice McDonald's. Not highest quality of food of course cuz it's fast food but I like the fries and getting deals. I've tried the mobile order a few times too and it's cool how they bring it to you and feels like there's less wait.,4 stars
Absolute worst service. The manager has no control over her employees. Absolutely rude and unprofessional.,1 star
This place is the worst.  It smelled like manure.  I had to go to the counter like 3 times before the order was complete. Cold fries and burnt apple pies. I didnt like this olace at all.  Next birthday for my grandson will be somewhere else.,1 star
"Some people still swear that McDonald's has the best coffee. It's not my personal favorite, but it's good and inexpensive. Discounts for seniors. Love the value meal selections too.",5 stars
Very clean lobby and facility. Coffee was fresh. Service was quick.,4 stars
The kiddos love to stop by and play in the play places.  This location has a bathroom in the play area which is awesome for the potty training years.  The resturant and play area was very clean and staff was around every so often to check on the cleaniness.  This is one of our favorite locations to visit.,5 stars
Classic fast food with addictive french fries. Burgers are prepared and cooked the same across the US. Consistency and quality are worth each visit.,4 stars
Always enjoy this McDonald's and I am not a fan of the food. The food is hot and correct majority of the time. The play area is great and staff is friendly. Keep up the good work.,4 stars
They were wicked fast and very friendly! I had actually stopped going to any McDonalds because of bad experiences elsewhere with really dry nuggets. Did not regret getting food there today.,5 stars
"Always fast, their food always tastes much more delicious than other mcdonalds.",4 stars
Urger buns taxted stale. Fries were little more than broken potato sticks. Absolutely terrible location!,2 stars
"Clean play area for children, minimal staff but working hard. I asked for veggie sandwhich because I am a vegitarian, i said ""lettuce, tomatoes, cheese, onion stuff like that"" but my sandwhich came out with pickles and cheese. :0( they took it back put a tomatoe and 1 peace of lettuce on it. I wish McDonalds had a nice big veggie sandwich to fill me up.",4 stars
"I just want to say
1. MCDonalds does NOT take phone orders!also you would not believe the amount of prank calls they get a night
2. There hasnï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",5 stars
Took my 3 year old here to eat and play in the play place. There was a homeless man sitting in there with his no socks or shoes on. Multiple employees walked by him without saying anything,1 star
"What's with the weak coffee?! The McDonald's coffee usually has a great flavor, this morning its like dirty warm water, weak and diluted! During breakfast lunch, unacceptable!",1 star
"I've never had a good experience with any McDonald's I've ever been to, so I usually avoid McD if possible.  My only visit to this McDonald's in Roanoke messed up my order.  I had ordered 2 hamburgers with no mustard, fries and drink.  I get home only to discover that the hamburgers did not have ketchup and onions, but were instead covered in mustard.  Won't be back.",1 star
They are doing a remodel for the lobby. But the drive through was open. Associate was very nice and we had a nice conversation while waiting on the food.,5 stars
"They have big macs :) but no all day breakfast :(... mobile app works well though, make sure you activate the order when u arrive ""I'M HERE"" or no one will know what you're talking about",4 stars
Drive thru lady is awful. The service was horrible,1 star
Girl taking orders in the drive through didn't listen very well. Asked for 2 hashbrowns it was never added to my order. I said it 3 times.,2 stars
Ordered a Big Mac with bacon didn't get the bacon on it. Fries were cold. And the gentleman inside was spitting in the trash can ill never go back again,1 star
You are sure of a good meal every time! Had a great brunch there today.,5 stars
Awesome vanilla cones!!,4 stars
"My over 20 year experience with McDonald's Restaurants in this area (Southlake, Grapevine, Keller, Northlake, and north FW) This one is by far the best one. I have been eating food regularly from this Roanoke McDonald's for a little over a year now.  This is the only place that makes the Big Mac the way I remember it as a kid. I do not post reviews often at all. I am making this one because of my experiences at all of the area McDonalds. If you decide to eat McDonald's, go to this one.",5 stars
That was the best quarter pounder I've had in years! .for real! Every once in awhile it's great. I would have taken a picture...but I wasn't thinking. Picture perfect,5 stars
The ladies restroom smell horrible. Moldy and mildew-y smell. Very very strong smell that I could smell through my mask.,2 stars
This location had me pull up to a number lane and wait for my food and NEVER CAME with it!! wth!!,1 star
Charged me for someone else who already drove offs meal. Then got my order wrong. Spent 20 minutes for fast food in the drive thru,2 stars
"Order some food and they forgot to give me , my Cheeseburgers... I always check the bag before I leave. I told them and the girl said it was in there...I told her you want to come and check...",2 stars
"Ate inside,  food was fine and order was correct.    Overall was a good visit.    Just wish was a little cleaner of a restaurant.",4 stars
"The service at this McDonald's is always spotty, this time they made my iced latte a hot latte not a big deal but they consistently mess up the orders and I love McDonalds in general",2 stars
We go to this McDonalds because they had a really cool electronic board that the kids could play on it was interactive and very neat well for the last five times they tell us the board is broke.. we only get a drink there I'm so we only go to for the play area and since it's broke my son has been very sad,2 stars
I think this place is under new management. I had a quarter pounder and it was really good and made right. Friendly service and very clean.,4 stars
"Great neighborhood McD. It's not open 24/7, but has enough friendly staff to keep its drive through going while quickly serving your order if you're inside.",5 stars
17 minutes in the drive thru. . . ..just wow.. had the order incorrect at the pay window. . .food was extremely hot so that was nice.,1 star
"Unfortunately they got my order wrong, but I still gave 4 stars bevause the employees are always so nice and friendly.",4 stars
"Good food,friendly service and pretty quick as well",5 stars
It's ok food wise mostly I've had few issue with my coffee so I don't get coffee anymore there but the workers are very attentive and nice..,3 stars
Guys just to let you know. I hate McDonald's!.... I just keep coming back and knowing that's its killing me. What I'm trying to say is that im addicted and I cant stop eating. I eat because I'm unhappy and I'm unhappy cause I eat. Lol 5 star,5 stars
"Clean and good service. The only problem is the drive through window always open because the busy order during morning, flies get in easily.",4 stars
"Came here for McDonald's, was not disappointed.... Loved the arches, some lady hit the curb behind me, kinda funny. Food and service were great.",4 stars
Manager waited on lacked enthusiasm. Team member stocking lids napkins and straws didn't bother stepping aside for customers to get their articles needed.,3 stars
"They get the order right, the good is always hot.  The kids enjoy the play place and the whole place is clean.",4 stars
How do you miss a patty on a big mac? -_- First time going there too.,2 stars
Horrible customer service. Manager is a very unhappy person who obviously does not want to be there.,1 star
"I used the drive through to order food before going to work. Service was a little slower than usual, but food was hot.",3 stars
Flavorless grease bombs. This chain in general has gone down hill in a big way.,1 star
Rude on the drive thru speaker and at the window the only postive was the person who  gave me my food. She was very kind and polite to me.,2 stars
"Best mc Donalds EVA!!!
they made for me fresh coffee (super quick) , and the cookies were just baked, you made my night guys!",5 stars
Sat in the drive thru for about 15 to 20 min because they were very busy and still got very cold food. Took the fries back. Very disappointed.,2 stars
Took my nephew to play & eat. First one ive been to with a working interactive floor projection game. Suited my needs,4 stars
I was told to pull forward and park so I did and I waited for 30 minutes and when I went in to ask about my food they said they forgot about me. I got a refund and left.,1 star
Not a big fan of McDonald's but I do love their fries and cheeseburgers!,4 stars
The staff is rude. My orders are seldom correct. Management is indignant when you call with an issue.,1 star
This is a McDonald's so the food is normal and good I liked the service here and would come again,4 stars
They always mess up orders or give you the wrong order.  Many times the orders or not like instructed. Not too happy with this place!,1 star
"They did not give me my complete order, I made 3 order  of chicken deluxe and my order was missing fries whet back to made a complain and they were yelling at me and husband, this is not fear to the customer. People should be aware  of this  Mcdonald at Broadway and check their food properly before they leave drive thru. Those staff there are thief.",1 star
"There was an excruciating 15 minute wait time for two simple breakfast sandwiches, and the place was empty. When checked, the sandwiches were actually missing the cheese.
While waiting, some filthy guy was exchanging $80 in singles for twenties. After he got done with his banking transaction, he actually spun around and walked right into me- talk about the bum rush!!
The true danger here, though, is when you try to enter. There is a welcome sign at the curb directing cars to enter into a single lane driveway where the drive-thru actually exits. A head-on collision waiting to happen.
Stay far away from this place.",1 star
Good price clean and good services,5 stars
"Very bad service, I don't recommend to go there. 30 minutes waiting for a order and nobody say nothing.",1 star
I ordered a Big Mac meal sized medium and a 10 pc; I got a double cheeseburger and actually 5 McNuggets. Got robbed for nearly 10 dollars. Never again.,1 star
They are very rude and have no respect for people they yell at you like you did something wrong then the make you wait for your order then they get the order wrong and the best part nobody there speaks any English burger King for me,1 star
"Terrible service through the drive by. They threw out food into the bag and it isn't the first time. I use to come here alot as a kid, but growing up it got worse. I hope their employees can have better customer service. And don't throw food everywhere.",1 star
It's McDonald's! One of the most ratchetest places you can visit for fast food,5 stars
"Sun Dec 11, 2022 at 5: 30am, went to pick up a order lady was being very rude telling me to get out of her drive thru when all I said was I have a order to pick. Very unprofessional.",1 star
"The worst. Attitudes. Cold fries..twice!!!! The clerk gave the cleaning guy my order in the middle of him sweeping the floor, to bring to my car. Unsanitary!!!
2nd time....the order was still wrong.
Food wasn't good at all. Won't be going back.",2 stars
Incorrect hours!!!  I arrived at 5:52 in the morning and was informed that they still closed,2 stars
"Complicated kiosk ordering, salty fries (can order lightly salted) decent but too much sodium in the hamburgers.  Good for in a pinch or for a quick bite.",2 stars
"Went thru the drive thru. It was around 11:30 pm, and the line went all the way around the building but was moving. Only ordered 2 large decaf coffees. They were fresh - made to order.",5 stars
"Instead of the manager (Isiah) helping my kids, he decides to send someone else so he can go converse with someone else. They were paying customers just like everyone else he helped. Thank you to the people that helped my kids.",1 star
Food isn't always hit. Nonmatter when I go. And even if I order a kids meal we always have to pull around and wait for our order. It's very slow service,3 stars
"Sign indicates free item if the person taking your order doesn't ask about rewards. The Male taking our order didn't ask. We told them at the window. The manager told us the girl that took our order did ask us we explained that it wasn't a girl it was the man. To which she rolled her eyes,walked away and didn't return. We also didn't recieve our bottle water, napkins  nor straws for the drinks we did get.",1 star
"Tiny cramped parking lot makes it hard to get in and out of. Location is in a really commercial touristy area so it's to be expected, I suppose. Didn't go inside, so this is just the drive thru experience. Dual drive thru lines were wrapped around the building at 10pm on a Sunday.
Food ok. Fries and fish bun were a bit stale, considering the long line, was expecting fresher food, I guess.  Good enough for a late snack.",3 stars
This store is always clean. The staff always pleasant and helpful. I've been impressed with them the whole 7 months I've been here.,5 stars
